,reviewId,userName,userImage,content,score,thumbsUpCount,reviewCreatedVersion,at,replyContent,repliedAt,appVersion
0,7c89e47a-3752-4f6e-9bbe-f484d94572cb,Faiz Huwaidi,https://play-lh.googleusercontent.com/a-/ALV-UjVNOXb8ct1wPKoFQYhlPvjOyuoZOaPr4CYY9U7N9pPjIGldOc0,Lemot banget ngirim kode OTP nya ajg,1,0,1.4.0,2024-09-23 12:47:06,,,1.4.0
1,23d68ef1-de14-4561-88d0-1bc79b290a06,Surya Kusuma,https://play-lh.googleusercontent.com/a-/ALV-UjXQoFEjb2FRlXKVhmm98Gk3a-L3rC5fZ37yfFVdwcSOL1n0v9d7,"Daftar pajak email aktivasi sudah, ehh pas nerima kode otp no hp ngga muncul udah 4jam nungguin trus dan ulang ulang di coba tetap sama tidak ada otp hadeh memperuslit aja",1,0,1.4.0,2024-09-23 11:29:20,,,1.4.0
2,4fe534e8-e648-49ab-9aa7-b051b8d1c26c,Askar Aska,https://play-lh.googleusercontent.com/a-/ALV-UjVmkfcOLbkR8PPikZ1xe_LfWc3vt6EcoobqjriTaMVDgQkJrjoJ,"Pas Nunggu Kode OTP nya emng GK lama,TPI GK tauu knp pas mau klik daptarr salahh Mulu,Mau daptar juga Mlah nglag. mohon lebih diperbaiki lgi",3,0,1.4.0,2024-09-22 23:26:55,,,1.4.0
3,fa12c7bd-9a4c-471c-bb9e-d54a4a3f85f9,azam Zam,https://play-lh.googleusercontent.com/a-/ALV-UjVtXZ4E5Qchj0ZNsq3yk5ir1O2eLTP748lbzZVj4m_BBDTQq-c,Sangat cocok untuk melihat pajak saya,5,0,1.4.0,2024-09-22 13:31:47,,,1.4.0
4,5e776387-89da-429c-9c30-4d0aef6cf603,Rendi Renaldi,https://play-lh.googleusercontent.com/a/ACg8ocJ3ovk-mRwI5fq3pa216FrJxfFki4UpzMSRnTeof1STVEOQzw=mo,ngabisin pulsa doang,1,0,1.4.0,2024-09-22 00:08:03,,,1.4.0
5,2ff3c164-47bb-4f0d-ace2-9928681f18f8,Riding Raya (Milohong),https://play-lh.googleusercontent.com/a-/ALV-UjXOiz60f7VviY7PqeADJ5iFySloUhWVn-ivt2BHLt2JECI4rwv_,Saya udah muter-muter buka aplikasi maupun di web tetap gak bisa. Katanya akun di blokir padahal baru saja di buat. Ini gimana ceritanya saya mau urus NPWP kok gak bisa.🙄,1,0,1.4.0,2024-09-21 20:36:15,,,1.4.0
6,3b5b5582-0c94-4fc7-a708-c69ba76a65e6,ZZ Z,https://play-lh.googleusercontent.com/a-/ALV-UjVYAEtf4pZpWSVfpR9wUtG9ZwIGJ9fWR3eqWA6Ba57xdAcaAwc,Mau bikin NPWP bagian otp nya gagal terus kesal pdhl udh isi pulsa..,2,0,1.4.0,2024-09-21 13:03:36,,,1.4.0
7,bc8e9b0c-1d2f-4db5-b353-8cfa8d1b4684,Endo,https://play-lh.googleusercontent.com/a-/ALV-UjWY2ug5MeRnLIOTzW6vMmasPa256_r24V3F2eU2Ayh8WBU5b5Mq,Aplikasi sampah,1,0,1.4.0,2024-09-21 12:32:05,,,1.4.0
8,c3a99943-9c86-4f16-9091-2cf50821f1ee,Ready Gaming sven.L,https://play-lh.googleusercontent.com/a-/ALV-UjUQkiGZtNHph7QG7ZUDKNGr_HTFNrUBGIw2YWvm4wYukZx5YLc,Ternyata bgni pajak saya dipakai untuk aplikasi yang tidak berfungsi,1,0,,2024-09-21 05:25:23,,,
9,b6c52d12-3974-4318-9de4-9993cb8e91c4,Mei Diantoro,https://play-lh.googleusercontent.com/a/ACg8ocJgDusn1bsdPaF_DEoy15pLbP3fGIZgXc1lzD9bP5177k4BWg=mo,"Bapak atau ibu yang terhormat,mohon aplikasi ini di benahi.masuknya susah,sekalinya ambil verifikasi di gmail dan mau isi ehh kembali ke tahap awal.mohon dipertimbangkan demi nama baik lembaga pajak",1,0,1.4.0,2024-09-20 14:41:01,,,1.4.0
10,cbb90608-3e21-46f7-bfa6-d9ef1c49b6a9,Rasma Wati,https://play-lh.googleusercontent.com/a-/ALV-UjVZ-G-Yb_d04VIY-ChDeQ6e69m5BAlO85MHRYuSjFIayOQYhLg,"Oke belum berkembang, mulai berkembang, sangat oke berkembang 🤭",3,0,1.4.0,2024-09-20 05:59:02,,,1.4.0
11,baa93028-46a5-404b-8c0e-d67ce0ae499f,Theresia Ovin,https://play-lh.googleusercontent.com/a/ACg8ocLwaFiIJvTgJg5fWiiMKi5mxXpmyeT673rFDFS1HiJPPK2QCw=mo,Semoga berfungsi dengan baik,5,0,,2024-09-19 11:14:08,,,
12,e7149129-aa2b-4bf4-b03a-e703c75ea58a,Dedi S,https://play-lh.googleusercontent.com/a-/ALV-UjUMqbl2gfXe9Y4hoMXHjghMIebmvZjFdOtAfDlnqzKZhiiTnzeH,Sampah memang gk bisa registrasi,1,0,1.4.0,2024-09-19 10:27:04,,,1.4.0
13,e7cb7785-eccf-4c0d-a1c8-4e9928b16d54,Rehar 332,https://play-lh.googleusercontent.com/a/ACg8ocLC3AOvha7jt1zRFM1dfYwmBdbB4jC-2syqknI6h-g6NfmNOg=mo,"Sumpah ni apl bener² mempersulit bgt, gak sesuai harapan",1,0,,2024-09-19 09:24:03,,,
14,dfc214ea-23ad-4db9-9582-93ce7f498701,Muhamad Rizal,https://play-lh.googleusercontent.com/a-/ALV-UjXSr-ZAML7OquQrforxz5rz6CrLSVKPuRnvlYB6H9C3EB5X-LQ,Ini duit anggaran pajak yang begitu banyak dari rakyat ga sanggup buat bayar IT yang ahli dalam bikin web dan aplikasi?,1,0,1.4.0,2024-09-19 08:03:59,,,1.4.0
15,6b46bd53-19e9-4829-bc93-5d90d1614e07,Agin MS Official,https://play-lh.googleusercontent.com/a-/ALV-UjVYopcFXztmjabW4rhgNlfu6-IJJCb6bGgcYt6FZ--owGCJVSAj,Aplikasi ga bermanfaat sama sekali ga ada otak,1,0,,2024-09-18 23:44:28,,,
16,9bf2e05e-5459-4adc-bc8e-4638845f9d58,Robert Ludji,https://play-lh.googleusercontent.com/a-/ALV-UjUGg64aL10-WNPhhNd7iCH_d1AC57sGcI1wqnjzoBwZ2mV_G-IciQ,aplikasi sampah!!! di perbarui ribuan kali tetap saja sistem nya error!!!,1,1,1.4.0,2024-09-18 12:17:27,,,1.4.0
17,f06f296e-a18a-44f3-91c8-9806aa7ed6b5,Meyusman M,https://play-lh.googleusercontent.com/a/ACg8ocKHtbTa5jXFb888GxKrfMTAoOZ4LoGh0549C_t1-D-0sTPNfA=mo,Tak bisa dipakek,1,0,,2024-09-18 12:07:38,,,
18,709bbf38-b66d-455b-abef-6267b364e900,trinity one,https://play-lh.googleusercontent.com/a-/ALV-UjVLFdK7dkxt_b-1ftCopWNovaEixmEfHyH9Ck5e-GAKFoAV9qJO,Baik baik saja,5,0,,2024-09-17 20:36:14,,,
19,c5b77ec6-5dc5-45a9-9203-29848674bc9c,Nova Asianna Simanungkalit,https://play-lh.googleusercontent.com/a-/ALV-UjXgYPQuEHGeeTrRC3LK3oBThRUDTZhyEQsMnJWIpsAJ5qvQeZHO,"Sangat terbantu mendapatkan EFIN. Gak perlu menunggu lama, langsung dikirimkan ke email.",5,0,1.4.0,2024-09-17 16:09:05,,,1.4.0
20,e5c100c1-e88a-4f7e-bad7-e91f47a67836,Agus Soleh,https://play-lh.googleusercontent.com/a/ACg8ocJNFSRdmrRMBJ14RsfxBd4egafhcol3jtWhF2PJI-fxmh0osc8=mo,Ok,5,0,1.4.0,2024-09-17 14:14:32,,,1.4.0
21,d8feafae-f2ed-42f4-9944-55a1543142c9,Fahriabdurahman Abdurahman,https://play-lh.googleusercontent.com/a/ACg8ocJkS1oTFYLPwGJwQjSxXMRJ4CRC-Y7vf4gXnYvlcarWQge4ag=mo,Nunggu balesan email aja susah nya minta ampun,1,0,1.4.0,2024-09-17 12:50:13,,,1.4.0
22,1684aab7-23eb-4690-906c-46afd9fbd7f1,Tarmidi Slamet,https://play-lh.googleusercontent.com/a-/ALV-UjWsmW9D6u7z8i7vCHRLXzKJ8MPlXp7sW3Vx4tQ-lD6Jnsu_S-Ly,Ok,5,0,1.4.0,2024-09-17 11:12:37,,,1.4.0
23,6c871a20-e277-498b-9b36-c9382076c212,abdul karim,https://play-lh.googleusercontent.com/a/ACg8ocJ9ThPlu8RrCYxxqPDk5_RfFe5yBoVagsK1TNFtyU8B9Am5WQ=mo,Aplikasi tidak berguna.,1,0,1.4.0,2024-09-16 23:37:15,,,1.4.0
